Variable,Word,Count
Opposed,corporation,19
Opposed,poorly,19
Opposed,enterprise,19
Opposed,accommodate,19
Opposed,returns,19
Opposed,basically,19
Opposed,option,19
Opposed,light,19
Opposed,choose,19
Opposed,diminish,19
Opposed,ability,19
Opposed,wealthy,19
Opposed,concrete,18
Opposed,cannibalize,18
Opposed,impacted,18
Opposed,improving,18
Opposed,pull,18
Opposed,stealing,18
Opposed,trade,18
Opposed,imagine,18
Opposed,pedestrian,18
Opposed,tarnish,18
Opposed,cover,18
Opposed,suburbs,18
Opposed,recent,18
Opposed,highways,18
Opposed,dislike,18
Opposed,decay,18
Opposed,figures,18
Opposed,innovative,18
Opposed,target,18
Opposed,emotional,18
Opposed,together,18
Opposed,global,18
Opposed,organizations,18
Opposed,southern,18
Opposed,involvement,18
Opposed,expand,18
Opposed,placing,18
Opposed,consultation,18
Opposed,gained,18
Opposed,hands,18
Opposed,dynamic,18
Opposed,skills,18
Opposed,adult,18
Opposed,regular,18
Opposed,zones,18
Opposed,useful,18
Opposed,according,18
Opposed,educated,18
Opposed,airport,18
Opposed,responsibility,18
Opposed,initiatives,18
Opposed,single,18
Opposed,claimed,18
Opposed,museums,18
Opposed,guarantee,18
Opposed,stream,18
Opposed,lobbyists,18
Opposed,perhaps,18
Opposed,costing,18
Opposed,analysis,18
Opposed,worthwhile,18
Opposed,nice,18
Opposed,gang,18
Opposed,priority,18
Opposed,siphon,18
Opposed,closed,18
Opposed,transfer,18
Opposed,beauty,17
Opposed,morality,17
Opposed,hole,17
